umich_user_id,hashed_session_cookie_id,server_timestamp,hashed_ip,user_agent,url,initial_referrer_url,browser_language,course_id,country_cd,region_cd,timezone,os,browser,key,value
c7e0b7e873392815abee61a53c231a1d5866a659,d8fe83dbeba4af9b001d3ad8f8aa8940b40e06ce,Thu Jan 01 03:07:24 EST 2015,64d473856d2caec33da6e02eda9c608d7a9a87e4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/39.0.2171.65 Chrome/39.0.2171.65 Safari/537.36",https://www.coursera.org/learn/insidetheinternet/outline,https://www.google.com/,"zh-CN,zh;q=0.8,en;q=0.6,zh-TW;q=0.4",2UHGXkNtEeSfwCIACxeXRw,US,IN,America/Indiana/Indianapolis,Ubuntu,Chromium,pageview,{}
10980ee1943f363a092467cd9c66bea3304d523a,67c6ddbf996571213039c6aa62625fad479f68ac,Thu Jan 01 03:08:00 EST 2015,a4c6bea6830c81d97ae9633afc0dec81394cefcd,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0,https://www.coursera.org/learn/insidetheinternet/lecture/H6V0k/high-stakes-research-in-computing-and-communication,https://www.coursera.org/specialization/payment/jhudatascience/1?utm_source=email&utm_medium=growth&utm_campaign=dss2F,"en-US,en;q=0.5",2UHGXkNtEeSfwCIACxeXRw,CA,QC,America/Toronto,Windows 7,Firefox,pageview,{}
6834ae47d226b2053f130fb9e52eab3c63212ca1,269aa6af8470f7c178f15ba9fe201963d71844d9,Thu Jan 01 03:08:27 EST 2015,649d5e8f92f7eda8884104b3a10f9906c2c78fee,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,https://www.coursera.org/learn/negotiation-skills/lecture/xaCpq/a-position-based-or-interest-based-negotiation,,"en-US,en;q=0.5",v0l76HmGEeSi3yIACzSGcw,US,CA,America/Los_Angeles,Windows 8.1,Firefox,pageview,{}
95cffc5948af183853735930299a0bc48c1cdc6c,e0f1598cc697187a9ab35f12562f7ad7ce2dcc2a,Thu Jan 01 03:05:03 EST 2015,1f280e42265dffbc7464f7e0922c17370910fdd4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",https://www.coursera.org/learn/insidetheinternet/lecture/cjHpu/application-layer,https://www.google.com/,"en-US,en;q=0.8",2UHGXkNtEeSfwCIACxeXRw,US,,,Mac OS X,Chrome,pageview,{}
17c1eed00cc46d9dfe62d95570d1b8e8846d5239,2285f0a0087920291134f157ae2b000ba64b393a,Thu Jan 01 03:05:12 EST 2015,d50dfc3839f658097a7a2b249ca9576efeb68c85,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60",https://www.coursera.org/learn/negotiation-skills/lecture/75Tqz/your-batna-in-a-dispute-resolution-negotiation,,"ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4",v0l76HmGEeSi3yIACzSGcw,BY,HM,Europe/Minsk,Windows 7,Opera,pageview,{}
17c1eed00cc46d9dfe62d95570d1b8e8846d5239,2285f0a0087920291134f157ae2b000ba64b393a,Thu Jan 01 03:05:13 EST 2015,d50dfc3839f658097a7a2b249ca9576efeb68c85,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60",https://www.coursera.org/learn/negotiation-skills/outline,,"ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4",v0l76HmGEeSi3yIACzSGcw,BY,HM,Europe/Minsk,Windows 7,Opera,pageview,{}
ef31598a0a50ca98c411d19de710dc9d1f19d413,07767224b0f2c0a6ee3698b4b465a344dcf9075f,Thu Jan 01 03:05:31 EST 2015,948ffbbd78bc234827b983d5f7dbffb0b08c63d1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",https://www.coursera.org/learn/negotiation-skills/lecture/iLFug/how-to-handle-ethical-issues,https://www.google.com.au/,"en-GB,en-US;q=0.8,en;q=0.6",v0l76HmGEeSi3yIACzSGcw,AU,NSW,Australia/Sydney,Windows 7,Chrome,pageview,{}
b8ee892ce61b98c391c7f49dac24a32569548d15,5928fa145b3ac755fd12565b6fdeea5746f5fcfa,Thu Jan 01 03:06:03 EST 2015,921dc33eedb147e074840dc8e954da730c3af781,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MALNJS; rv:11.0) like Gecko,https://www.coursera.org/learn/insidetheinternet/outline,,en-US,2UHGXkNtEeSfwCIACxeXRw,US,IN,America/Indiana/Indianapolis,Windows 8.1,IE,pageview,{}
1066a697903937dcb2bba46698b65c9067602b13,9431b24e18b18ea6b5aea81920abd33fb9ce55ee,Thu Jan 01 03:06:14 EST 2015,65bd9edcd8e0e83778c61d2af5290be4cff9a4bc,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0,https://www.coursera.org/learn/negotiation-skills/lecture/2qWYi/adr-tools,,"en-US,en;q=0.5",v0l76HmGEeSi3yIACzSGcw,US,TX,America/Chicago,Windows 7,Firefox,pageview,{}
bb116a9af763fa2f53139c1dfa851c760a667169,7ddb832b815685736d5ae2f9c7643f17aebe7182,Thu Jan 01 03:06:15 EST 2015,7708a07814cdec58094b42408fabcad34800869b,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",https://www.coursera.org/learn/negotiation-skills/outline,https://www.google.de/,"de-DE,de;q=0.8,en-US;q=0.6,en;q=0.4",v0l76HmGEeSi3yIACzSGcw,DE,HE,Europe/Berlin,Windows 7,Chrome,pageview,{}
